Entity,Code,Year,Overweight or Obese (NCDRisC (2017)),Daily calorie supply per person,Population (historical),World regions according to OWID,time,time,time,time
Maldives,MDV,2019,28,2691.3398,487737,Asia,2019,2023,2014,2014
Mali,MLI,2019,17.5,2660.3262,21068405,Africa,2019,2023,2014,2014
Malta,MLT,2019,69.8,3478.91,504017,Europe,2019,2023,2014,2014
Marshall Islands,MHL,2019,74.4,3028.5652,44030,Oceania,2019,2023,2019,2014
Mauritania,MRT,2019,23.2,2914.0703,4467714,Africa,2019,2023,2014,2014
Mauritius,MUS,2019,36.5,2968.989,1286269,Africa,2019,2023,2014,2014
Mexico,MEX,2019,63.6,3157.6462,125762978,North America,2019,2023,2014,2014
Micronesia (country),FSM,2019,69,2788.6755,110293,Oceania,2019,2023,2019,2014
Moldova,MDA,2019,48.9,2344.2969,3112561,Europe,2019,2023,2014,2014
Mongolia,MNG,2019,50,2597.225,3232118,Asia,2019,2023,2014,2014
Montenegro,MNE,2019,63.6,3318.9624,611671,Europe,2019,2023,2014,2014
Morocco,MAR,2019,49.7,3388.7454,36210907,Africa,2019,2023,2014,2014
Mozambique,MOZ,2019,12,2040.5703,29884378,Africa,2019,2023,2014,2014
Myanmar,MMR,2019,14.6,2748.7534,52640718,Asia,2019,2023,2014,2014
Namibia,NAM,2019,26.7,2324.582,2650499,Africa,2019,2023,2014,2014
Nauru,NRU,2019,80.2,3075.5803,11609,Oceania,2019,2023,2019,2014
Nepal,NPL,2019,15.5,2657.9595,28414066,Asia,2019,2023,2014,2014
Netherlands,NLD,2019,62.6,3229.532,17537505,Europe,2019,2023,2014,2014
New Zealand,NZL,2019,68.8,3233.6763,4989410,Oceania,2019,2023,2014,2014
Nicaragua,NIC,2019,45.9,2551.6973,6483660,North America,2019,2023,2014,2014
Niger,NER,2019,11.2,2520.8218,22947765,Africa,2019,2023,2014,2014
Nigeria,NGA,2019,23.6,2485.5552,209485637,Africa,2019,2023,2014,2014
North Korea,PRK,2019,18.9,2071.9885,26037633,Asia,2019,2023,2014,2014
North Macedonia,MKD,2019,60.2,3084.9998,1897643,Europe,2019,2023,2014,2014
Norway,NOR,2019,65.4,3518.6982,5347733,Europe,2019,2023,2014,2014
Oman,OMN,2019,60.9,3061.6526,4591248,Asia,2019,2023,2014,2014
Pakistan,PAK,2019,21,2363.3025,230800908,Asia,2019,2023,2014,2014
Panama,PAN,2019,58,2790.205,4234698,North America,2019,2023,2014,2014
Papua New Guinea,PNG,2019,43.9,2213.5547,9609014,Oceania,2019,2023,2014,2014
Paraguay,PRY,2019,51.5,3136.7341,6515059,South America,2019,2023,2014,2014
Peru,PER,2019,52.7,2737.0217,32449302,South America,2019,2023,2014,2014
Philippines,PHL,2019,21.8,2463.2266,110804685,Asia,2019,2023,2014,2014
Poland,POL,2019,65.2,3373.073,38225884,Europe,2019,2023,2014,2014
Portugal,PRT,2019,62.2,3402.7085,10343218,Europe,2019,2023,2014,2014
Qatar,QAT,2019,72.2,3493.058,2797927,Asia,2019,2023,2019,2014
Romania,ROU,2019,63.9,3476.9897,19501542,Europe,2019,2023,2014,2014
Russia,RUS,2019,60.3,3342.6797,146533063,Europe,2019,2023,2014,2014
Rwanda,RWA,2019,10.3,2143.0461,12776102,Africa,2019,2023,2014,2014
Saint Kitts and Nevis,KNA,2019,52.1,2716.631,46976,North America,2019,2023,2014,2014
Saint Lucia,LCA,2019,48.1,2618.5923,177675,North America,2019,2023,2014,2014
Saint Vincent and the Grenadines,VCT,2019,49.5,2975.727,104183,North America,2019,2023,2014,2014
Samoa,WSM,2019,73.4,3004.802,209794,Oceania,2019,2023,2014,2014
Sao Tome and Principe,STP,2019,24.1,2330.3455,213405,Africa,2019,2023,2014,2014
Saudi Arabia,SAU,2019,65.5,3488.6514,30472809,Asia,2019,2023,2014,2014
Senegal,SEN,2019,19.5,2444.6482,16352926,Africa,2019,2023,2014,2014
Serbia,SRB,2019,59.3,3434.7278,6966155,Europe,2019,2023,2014,2014
Seychelles,SYC,2019,41.8,2736.749,117662,Africa,2019,2023,2014,2014
Sierra Leone,SLE,2019,16.9,2406.8052,7731994,Africa,2019,2023,2014,2014
Slovakia,SVK,2019,64.5,2831.1729,5450627,Europe,2019,2023,2014,2014
Slovenia,SVN,2019,64.1,3262.483,2083438,Europe,2019,2023,2014,2014
Solomon Islands,SLB,2019,38.9,2284.9592,728156,Oceania,2019,2023,2014,2014
Somalia,SOM,2019,14.6,1706.9296,16030969,Africa,2019,2023,2014,2014
South Africa,ZAF,2019,40.2,2801.0645,59587880,Africa,2019,2023,2014,2014
South Korea,KOR,2019,37.9,3328.5298,51767844,Asia,2019,2023,2014,2014
Spain,ESP,2019,67.1,3175.6582,47435121,Europe,2019,2023,2014,2014
Sri Lanka,LKA,2019,17.3,2556.4688,22410552,Asia,2019,2023,2014,2014
Sudan,SDN,2019,21.5,2532.1704,45548179,Africa,2019,2023,2014,2014
Suriname,SUR,2019,52,2678.5693,605779,South America,2019,2023,2014,2014
Sweden,SWE,2019,62.6,3257.98,10279120,Europe,2019,2023,2014,2014
